Judd Dredd [1995];[Action]
Death of a President [2006];[Mockumentaries]/
Deathdealer: A Documentary [2004];[Mockumentaries]/
Diary of the Dead [2007];[Mockumentaries]/
Dill Scallion [1999];[Mockumentaries]/
Emergo [2011];[Mockumentaries]/
Endless Orgy for the Goddess of Perversion [2008];[Mockumentaries]/
Ever Since the World Ended [2001];[Mockumentaries]/
F for Fake [1973];[Mockumentaries]/
Fear of a Black Hat [1994];[Mockumentaries]/
Fellowship of the Dice [2005];[Mockumentaries]/
Finishing the Game: The Search for a New Bruce Lee [2007];[Mockumentaries]/
For Your Consideration [2006];[Mockumentaries]/
Forgotten Silver [1995];[Mockumentaries]/
Fubar [2002];[Mockumentaries]/
Fubar II [2010];[Mockumentaries]/
Fudge 44 [2006];[Mockumentaries]/
G-Sale [2003];[Mockumentaries]/
Gamers [2006];[Mockumentaries]/
Gangsta Rap: The Glockumentary [2007];[Mockumentaries]/
Get Ready to Be Boyzvoiced [2000];[Mockumentaries]/
Ghostwatch [1992];[Mockumentaries]/
Good Arrows [2009];[Mockumentaries]/
Hard Core Logo [1996];[Mockumentaries]/
How to Irritate People [1968];[Mockumentaries]/
Husbands and Wives [1992];[Mockumentaries]/
I'm Still Here [2010];[Mockumentaries]/
Incident at Loch Ness [2004];[Mockumentaries]/
Interview with the Assassin [2002];[Mockumentaries]/
It's All Gone Pete Tong [2004];[Mockumentaries]/
Kenny [2006];[Mockumentaries]/
Lake Mungo [2008];[Mockumentaries]/
LolliLove [2004];[Mockumentaries]/
Long Pigs [2007];[Mockumentaries]/
Man Bites Dog [1992];[Mockumentaries]/
Man of the Year [1995];[Mockumentaries]/
Mayhem Behind Movies [2011];[Mockumentaries]/
Medusa: Dare to Be Truthful [1992];[Mockumentaries]/
Mike Bassett: England Manager [2001];[Mockumentaries]/
Never Been Thawed [2005];[Mockumentaries]/
Nothing So Strange [2002];[Mockumentaries]/
Oil Storm [2005];[Mockumentaries]/
Opération lune [2002];[Mockumentaries]/
Paranormal Activity [2007];[Mockumentaries]/
Punishment Park [1971];[Mockumentaries]/
Quarantine [2008];[Mockumentaries]/
R2-D2: Beneath the Dome [2001];[Mockumentaries]/
Real Life [1979];[Mockumentaries]/
Rossiya 88 [2009];[Mockumentaries]/
Russia 88 [2009];[Mockumentaries]/
S&Man [2006];[Mockumentaries]/
Sei dai tinwong [2006];[Mockumentaries]/
Septem8er Tapes [2004];[Mockumentaries]/
Series 7: The Contenders [2001];[Mockumentaries]/
Steamin' and Dreamin': The Grandmaster Cash Story [2009];[Mockumentaries]/
Take the Money and Run [1969];[Mockumentaries]/
Tanner '88 [1988];[Mockumentaries]/
Tanner on Tanner [2004];[Mockumentaries]/
The Amityville Horror: The Lost Tapes [2012];[Mockumentaries]/
The Atticus Institute [2015];[Mockumentaries]/
The Baby Formula [2008];[Mockumentaries]/
The Big Tease [1999];[Mockumentaries]/
The Blair Witch Project [1999];[Mockumentaries]/
The Boys & Girls Guide to Getting Down [2006];[Mockumentaries]/
The Calcium Kid [2004];[Mockumentaries]/
The Canadian Conspiracy [1985];[Mockumentaries]/
The Compleat Al [1985];[Mockumentaries]/
The Conspiracy [2012];[Mockumentaries]/
The Day Britain Stopped [2003];[Mockumentaries]/
The Delicate Art of Parking [2003];[Mockumentaries]/
The Flying Scissors [2009];[Mockumentaries]/
The Forbidden Quest [1993];[Mockumentaries]/
The Fourth Kind [2009];[Mockumentaries]/
The Gerber Syndrome [2011];[Mockumentaries]/
The Heavenly Kings [2006];[Mockumentaries]/
The Last Broadcast [1998];[Mockumentaries]/
The Last Horror Movie [2003];[Mockumentaries]/
The Last Polka [1985];[Mockumentaries]/
The Magician [2005];[Mockumentaries]/
The Notorious Newman Brothers [2009];[Mockumentaries]/
The Old Negro Space Program [2004];[Mockumentaries]/
The Poughkeepsie Tapes [2007];[Mockumentaries]/
The Rutles: All You Need Is Cash [1978];[Mockumentaries]/
The Second Renaissance Part I [2003];[Mockumentaries]/
The Troll Hunter [2010];[Mockumentaries]/
Trollhunter [2010];[Mockumentaries]/
Trolljegeren [2010];[Mockumentaries]/
Vampires [2010];[Mockumentaries]/
Vérités et Mensonges [1973];[Mockumentaries]/
Waiting for Guffman [1996];[Mockumentaries]/
What We Do in the Shadows [2014];[Mockumentaries]/
Yacht Rock [2005];[Mockumentaries]/
Zelig [1983];[Mockumentaries]/
Zero Day [2003];[Mockumentaries]/
1776 [1972];[Musicals]/
1942: A Love Story [1994];[Musicals]/
42nd Street [1933];[Musicals]/
8 femmes [2002];[Musicals]/
8 Women [2002];[Musicals]/
A Funny Thing Happened on the Way to the Forum [1966];[Musicals]/
A Hard Day's Night [1964];[Musicals]/
A Night at the Opera [1935];[Musicals]/
À nous la liberté [1931];[Musicals]/
A Star Is Born [1954];[Musicals]/
A Very Potter Musical [2009];[Musicals]/
Abbott & Costello: Buck Privates [1941];[Musicals]/
Abbott & Costello: Pardon My Sarong [1942];[Musicals]/
Abhimaan [1973];[Musicals]/
Across the Universe [2007];[Musicals]/
Afrita hanem [1949];[Musicals]/
Alai Payuthey [2001];[Musicals]/
Alferd Packer: The Musical [1996];[Musicals]/
All That Jazz [1979];[Musicals]/
Amadeus [1984];[Musicals]/
An American in Paris [1951];[Musicals]/
Anchors Aweigh [1945];[Musicals]/
Animal Crackers [1930];[Musicals]/
Annie Get Your Gun [1950];[Musicals]/
Ansiedad [1953];[Musicals]/
Applause [1929];[Musicals]/
Athadu [2005];[Musicals]/
Awaara [1951];[Musicals]/
Babes in Toyland [1934];[Musicals]/
Bawarchi [1972];[Musicals]/
Bells Are Ringing [1960];[Musicals]/
Bombay [1995];[Musicals]/
Breaking Away [1979];[Musicals]/
Broadway Melody of 1940 [1940];[Musicals]/
Bugsy Malone [1976];[Musicals]/
Cabaret [1972];[Musicals]/
Cabin in the Sky [1943];[Musicals]/
Calamity Jane [1953];[Musicals]/
Cannibal! The Musical [1996];[Musicals]/
Car Wash [1976];[Musicals]/
Carmen [1983];[Musicals]/
Carmen Jones [1954];[Musicals]/
Carousel [1956];[Musicals]/
Catalina Caper [1967];[Musicals]/
Cavalcade [1933];[Musicals]/
Charlie Chan at the Opera [1936];[Musicals]/
Chicago [2002];[Musicals]/
Come on George! [1939];[Musicals]/
Corpse Bride [2005];[Musicals]/
Cover Girl [1944];[Musicals]/
Damn Yankees! [1958];[Musicals]/
Dancer in the Dark [2000];[Musicals]/
Der Kongreß tanzt [1931];[Musicals]/
Devdas [2002];[Musicals]/
Die 3 Groschen-Oper [1931];[Musicals]/
Dil Hai Ki Manta Nahin [1991];[Musicals]/
Dil Se.. [1998];[Musicals]/
Dilwale Dulhania Le Jayenge [1995];[Musicals]/
Dong [1998];[Musicals]/
Donkey Skin [1970];[Musicals]/
Duck Soup [1933];[Musicals]/
Dynasty [1997];[Musicals]/
Easter Parade [1948];[Musicals]/
Eegah [1962];[Musicals]/
Evergreen [1934];[Musicals]/
Fame [1980];[Musicals]/
Fiddler on the Roof [1971];[Musicals]/
Finian's Rainbow [1968];[Musicals]/
Flying Down to Rio [1933];[Musicals]/
Follow the Fleet [1936];[Musicals]/
Footlight Parade [1933];[Musicals]/
For Me and My Gal [1942];[Musicals]/
Forbidden Zone [1982];[Musicals]/
Freedom for Us [1931];[Musicals]/
French Cancan [1954];[Musicals]/
From Disaster to Disaster [1988];[Musicals]/
From Justin to Kelly [2003];[Musicals]/
Funny Face [1957];[Musicals]/
Funny Girl [1968];[Musicals]/
Gentlemen Prefer Blondes [1953];[Musicals]/
Godspell [1973];[Musicals]/
Going Hollywood [1933];[Musicals]/
Going My Way [1944];[Musicals]/
Gold Diggers of 1933 [1933];[Musicals]/
Golden Eighties [1986];[Musicals]/
Good News [1947];[Musicals]/
Grease [1978];[Musicals]/
Guide [1965];[Musicals]/
Gupt: The Hidden Truth [1997];[Musicals]/
Guru [2007];[Musicals]/
Guys and Dolls [1955];[Musicals]/
Gypsy [1962];[Musicals]/
Hair [1979];[Musicals]/
Hallelujah! [1929];[Musicals]/
Hedwig and the Angry Inch [2001];[Musicals]/
Hello, Dolly! [1969];[Musicals]/
Help! [1965];[Musicals]/
Hillbillys in a Haunted House [1967];[Musicals]/
History of the World: Part I [1981];[Musicals]/
Holiday Inn [1942];[Musicals]/
Horse Feathers [1932];[Musicals]/
How to Succeed in Business Without Really Trying [1967];[Musicals]/
Hum Aapke Hain Koun...! [1994];[Musicals]/
Hum Dil De Chuke Sanam [1999];[Musicals]/
In the Good Old Summertime [1949];[Musicals]/
It's Always Fair Weather [1955];[Musicals]/
Jailhouse Rock [1957];[Musicals]/
Janken musume [1955];[Musicals]/
Jesus Christ Superstar [1973];[Musicals]/
Jodhaa Akbar [2008];[Musicals]/
Kaakha..Kaakha: The Police [2003];[Musicals]/
Kiraware Matsuko no isshô [2006];[Musicals]/
Kiss Me Kate [1953];[Musicals]/
Kuch Kuch Hota Hai [1998];[Musicals]/
Lagaan: Once Upon a Time in India [2001];[Musicals]/
Lamhe [1991];[Musicals]/
Le bal [1983];[Musicals]/
Le Million [1931];[Musicals]/
Lemonade Joe [1964];[Musicals]/
Les Demoiselles de Rochefort [1967];[Musicals]/
Les Misérables [2012];[Musicals]/
Les parapluies de Cherbourg [1964];[Musicals]/
Lili [1953];[Musicals]/
Limonádový Joe aneb Konská opera [1964];[Musicals]/
Little Miss Devil [1949];[Musicals]/
Little Shop of Horrors [1986];[Musicals]/
Love Me or Leave Me [1955];[Musicals]/
Love Me Tonight [1932];[Musicals]/
Maine Pyar Kiya [1989];[Musicals]/
Man of La Mancha [1972];[Musicals]/
Manichithrathazhu [1993];[Musicals]/
March of the Wooden Soldiers [1934];[Musicals]/
Mary Poppins [1964];[Musicals]/
Masoom [1983];[Musicals]/
Meet Me in St. Louis [1944];[Musicals]/
Memories of Matsuko [2006];[Musicals]/
Mister 420 [1955];[Musicals]/
Mother India [1957];[Musicals]/
Moulin Rouge! [2001];[Musicals]/
Mr India [1987];[Musicals]/
Mr. 420 [1955];[Musicals]/
My Fair Lady [1964];[Musicals]/
Nashville [1975];[Musicals]/
Naughty Marietta [1935];[Musicals]/
Never Give a Sucker an Even Break [1941];[Musicals]/
New York, New York [1977];[Musicals]/
Newsies [1992];[Musicals]/
Not On The Lips [2003];[Musicals]/
Oh! What a Lovely War [1969];[Musicals]/
Oklahoma! [1955];[Musicals]/
Oliver! [1968];[Musicals]/
On a Clear Day You Can See Forever [1970];[Musicals]/
On connaît la chanson [1997];[Musicals]/
On The Town [1949];[Musicals]/
One from the Heart [1982];[Musicals]/
One Hour with You [1932];[Musicals]/
One Hundred Men and a Girl [1937];[Musicals]/
Opera Jawa [2006];[Musicals]/
Original Cast Album: Company [1970];[Musicals]/
Padosan [1968];[Musicals]/
Pakeezah [1972];[Musicals]/
Parineeta [2005];[Musicals]/
Pas Sur La Bouche [2003];[Musicals]/
Peau d'âne [1970];[Musicals]/
Pierrot Goes Wild [1965];[Musicals]/
Pierrot le fou [1965];[Musicals]/
Pink Floyd The Wall [1982];[Musicals]/
Pyaasa [1957];[Musicals]/
Qayamat Se Qayamat Tak [1988];[Musicals]/
Ram Gopal Varma Ki Aag [2007];[Musicals]/
Red Riding Hood [2007];[Musicals]/
Rehnaa Hai Terre Dil Mein [2001];[Musicals]/
Requiem from Java [2006];[Musicals]/
Road to Morocco [1942];[Musicals]/
Road to Rio [1947];[Musicals]/
Road to Utopia [1946];[Musicals]/
Road to Zanzibar [1941];[Musicals]/
Saajan [1991];[Musicals]/
Same Old Song [1997];[Musicals]/
San Francisco [1936];[Musicals]/
Santoori [2007];[Musicals]/
Saturday Night Fever [1977];[Musicals]/
Scrooge [1970];[Musicals]/
Seven Brides for Seven Brothers [1954];[Musicals]/
Shall We Dance [1937];[Musicals]/
Sholay [1975];[Musicals]/
Show Boat [1936];[Musicals]/
Shree 420 [1955];[Musicals]/
Silk Stockings [1957];[Musicals]/
Silsila [1981];[Musicals]/
Sing As We Go [1934];[Musicals]/
Singin' in the Rain [1952];[Musicals]/
Sita Sings the Blues [2008];[Musicals]/
Something Is Happening [1998];[Musicals]/
State Fair [1945];[Musicals]/
Stormy Weather [1943];[Musicals]/
Summer Holiday [1948];[Musicals]/
Summer Stock [1950];[Musicals]/
Sweeney Todd: The Demon Barber of Fleet Street [2007];[Musicals]/
Sweet Charity [1969];[Musicals]/
Sweet Dreams [1985];[Musicals]/
Swing Time [1936];[Musicals]/
Tangy Guacamole [2003];[Musicals]/
The Band Wagon [1953];[Musicals]/
The Barkleys of Broadway [1949];[Musicals]/
The Boy Friend [1971];[Musicals]/
The Brave Little Toaster [1987];[Musicals]/
The Congress Dances [1931];[Musicals]/
The Court Jester [1955];[Musicals]/
The Gay Divorcee [1934];[Musicals]/
The Girl Can't Help It [1956];[Musicals]/
The Graduate [1967];[Musicals]/
The Great Rock 'n' Roll Swindle [1980];[Musicals]/
The Harder They Come [1972];[Musicals]/
The Harvey Girls [1946];[Musicals]/
The Hole [1998];[Musicals]/
The Jazz Singer [1927];[Musicals]/
The King and I [1956];[Musicals]/
The Littlest Rebel [1935];[Musicals]/
The Lost Princess [2005];[Musicals]/
The Love Parade [1929];[Musicals]/
The Merry Widow [1934];[Musicals]/
The Million [1931];[Musicals]/
The Music Man [1962];[Musicals]/
The Pajama Game [1957];[Musicals]/
The Phantom of the Opera [2004];[Musicals]/
The Pirate [1948];[Musicals]/
The Pirates of Penzance [1983];[Musicals]/
The Producers [1967];[Musicals]/
The Rocky Horror Picture Show [1975];[Musicals]/
The Russians Are Coming! The Russians Are Coming! [1966];[Musicals]/
The Slipper and the Rose: The Story of Cinderella [1976];[Musicals]/
The Smiling Lieutenant [1931];[Musicals]/
The Sound of Music [1965];[Musicals]/
The Tales of Hoffmann [1951];[Musicals]/
The Thirsty One [1957];[Musicals]/
The Threepenny Opera [1931];[Musicals]/
The Umbrellas of Cherbourg [1964];[Musicals]/
The Wizard of Oz [1939];[Musicals]/
The Young Girls of Rochefort [1967];[Musicals]/
Thirst [1957];[Musicals]/
Tommy [1975];[Musicals]/
Top Hat [1935];[Musicals]/
True Stories [1986];[Musicals]/
Veer-Zaara [2004];[Musicals]/
Venni vidi e m'arrapaoh [1984];[Musicals]/
Victor Victoria [1982];[Musicals]/
Viktor and Viktoria [1933];[Musicals]/
Viktor und Viktoria [1933];[Musicals]/
Virasat [1997];[Musicals]/
Volga - Volga [1938];[Musicals]/
Waves [2001];[Musicals]/
West Side Story [1961];[Musicals]/
White Christmas [1954];[Musicals]/
Who Am I to You...! [1994];[Musicals]/
Yamim Shel Ahava [2005];[Musicals]/
Yankee Doodle Dandy [1942];[Musicals]/
Yellow Submarine [1968];[Musicals]/
You and Me [1938];[Musicals]/
You Were Never Lovelier [1942];[Musicals]/
Ziegfeld Follies [1945];[Musicals]/
Zouzou [1934];[Musicals]/
"Great Performances" Cats [1998];[Musicals]/[Broadway]/
Company: A Musical Comedy [2007];[Musicals]/[Broadway]/
Sondheim! The Birthday Concert [2010];[Musicals]/[Broadway]/
Sweeney Todd: The Demon Barber of Fleet Street [1982];[Musicals]/[Broadway]/
Top Banana [1954];[Musicals]/[Broadway]/
Victor/Victoria [1995];[Musicals]/[Broadway]/
127 Hours [2010];[Set in Utah]/
6 Angels [2002];[Set in Utah]/
A Hobo's Christmas [1987];[Set in Utah]/
A Life Less Ordinary [1997];[Set in Utah]/
Bad Fever [2012];[Set in Utah]/
Banjo the Woodpile Cat [1979];[Set in Utah]/
Believe [2007];[Set in Utah]/
Bonneville [2006];[Set in Utah]/
Breakheart Pass [1975];[Set in Utah]/
Brigham City [2001];[Set in Utah]/
Brigham Young [1940];[Set in Utah]/
Broken Arrow [1996];[Set in Utah]/
Carnival of Souls [1962];[Set in Utah]/
Chilly Scenes of Winter [1979];[Set in Utah]/
Choke Canyon [1986];[Set in Utah]/
Christmas in the Clouds [2001];[Set in Utah]/
Con Air [1997];[Set in Utah]/
Convict Stage [1965];[Set in Utah]/
Coyote Summer [1996];[Set in Utah]/
Denizen [2010];[Set in Utah]/
Don't Come Knocking [2005];[Set in Utah]/
Dumb and Dumber [1994];[Set in Utah]/
Fletch [1985];[Set in Utah]/
Follow the Prophet [2009];[Set in Utah]/
Footloose [1984];[Set in Utah]/
Fort Courageous [1965];[Set in Utah]/
Frozen [2010];[Set in Utah]/
Getting There [2002];[Set in Utah]/
I'll Always Know What You Did Last Summer [2006];[Set in Utah]/
Kick Like a Girl [2008];[Set in Utah]/
Latter Days [2003];[Set in Utah]/
Nightfall [1999];[Set in Utah]/
Orgazmo [1997];[Set in Utah]/
Out of the Past [1998];[Set in Utah]/
Outbreak [1995];[Set in Utah]/
Outlaw Trail: The Treasure of Butch Cassidy [2006];[Set in Utah]/
Pirates of the Great Salt Lake [2006];[Set in Utah]/
Pride and Prejudice [2003];[Set in Utah]/
Profetul, aurul si Ardelenii [1979];[Set in Utah]/
Quincannon, Frontier Scout [1956];[Set in Utah]/
Red Canyon [2008];[Set in Utah]/
Revolt at Fort Laramie [1957];[Set in Utah]/
September Dawn [2007];[Set in Utah]/
Sergeants 3 [1962];[Set in Utah]/
Skinwalkers [2002];[Set in Utah]/
SLC Punk! [1998];[Set in Utah]/
Sons of Provo [2004];[Set in Utah]/
T Takes: Josh Hartnett [2008];[Set in Utah]/
Ted Bundy [2002];[Set in Utah]/
The Avenging Angel [1995];[Set in Utah]/
The Beaver Trilogy [2000];[Set in Utah]/
The Electric Horseman [1979];[Set in Utah]/
The Elizabeth Smart Story [2003];[Set in Utah]/
The Executioner's Song [1982];[Set in Utah]/
The Girl in Black Stockings [1957];[Set in Utah]/
The Hitchhiker [2007];[Set in Utah]/
The Man from Utah [1934];[Set in Utah]/
The Prophet, the Gold and the Transylvanians [1979];[Set in Utah]/
The World's Fastest Indian [2005];[Set in Utah]/
Uranium Blues [1956];[Set in Utah]/
Utah Wagon Train [1951];[Set in Utah]/
Vanishing Point [1971];[Set in Utah]/
Waiting for NESARA [2005];[Set in Utah]/
Warlock [1959];[Set in Utah]/
Whiffs [1975];[Set in Utah]/
Wild Rovers [1971];[Set in Utah]/
1408 [2007];[Stephen King]/
A Good Marriage [2014];[Stephen King]/
A Return to Salem's Lot [1987];[Stephen King]/
All That You Love [2008];[Stephen King]/
All That You Love Will Be Carried Away [2004];[Stephen King]/
Apt Pupil [1998];[Stephen King]/
Autopsy Room Four [2003];[Stephen King]/
Bag of Bones [2011];[Stephen King]/
Big Driver [2014];[Stephen King]/
Cain Rose Up [2010];[Stephen King]/
Cain Rose Up [2010];[Stephen King]/
Carrie [1976];[Stephen King]/
Carrie [2002];[Stephen King]/
Carrie [2013];[Stephen King]/
Cat's Eye [1985];[Stephen King]/
Children of the Corn [1984];[Stephen King]/
Children of the Corn [2009];[Stephen King]/
Children of the Corn: Genesis [2011];[Stephen King]/
Christine [1983];[Stephen King]/
Creepshow [1982];[Stephen King]/
Creepshow [2011];[Stephen King]/
Creepshow 2 [1987];[Stephen King]/
Creepshow III [2006];[Stephen King]/
Cujo [1983];[Stephen King]/
Desperation [2006];[Stephen King]/
Disciples of the Crow [1983];[Stephen King]/
Dolan's Cadillac [2009];[Stephen King]/
Dolores Claiborne [1995];[Stephen King]/
Dreamcatcher [2003];[Stephen King]/
Everything's Eventual [2009];[Stephen King]/
Everything's Eventual [2011];[Stephen King]/
Firestarter [1984];[Stephen King]/
Firestarter 2: Rekindled [2002];[Stephen King]/
Flowers for Norma [2010];[Stephen King]/
Golden Years [1991];[Stephen King]/
Graveyard Shift [1990];[Stephen King]/
Grey Matter [2010];[Stephen King]/
Hard Ride [2010];[Stephen King]/
Hearts in Atlantis [2001];[Stephen King]/
Here There Be Tigers [2010];[Stephen King]/
In the Deathroom [2009];[Stephen King]/
In the Deathroom [2011];[Stephen King]/
It [1990];[Stephen King]/
Luckey Quarter [2005];[Stephen King]/
Maximum Overdrive [1986];[Stephen King]/
Message from Jerusalem [2011];[Stephen King]/
Misery [1990];[Stephen King]/
Mute [2011];[Stephen King]/
Needful Things [1993];[Stephen King]/
Night Surf [2002];[Stephen King]/
Nightmares and Dreamscapes: From the Stories of Stephen King [2006];[Stephen King]/
Pet Sematary [1989];[Stephen King]/
Quicksilver Highway [1997];[Stephen King]/
Rainy Season [2002];[Stephen King]/
Riding the Bullet [2004];[Stephen King]/
Salem's Lot [1979];[Stephen King]/
Salem's Lot [2004];[Stephen King]/
Secret Window [2004];[Stephen King]/
Silver Bullet [1985];[Stephen King]/
Sleepwalkers [1992];[Stephen King]/
Sometimes They Come Back [1991];[Stephen King]/
Stand by Me [1986];[Stephen King]/
Stephen King's La Femme Dans La Chambre [2005];[Stephen King]/
Stephen King's N [2010];[Stephen King]/
Stephen King's Paranoid [2000];[Stephen King]/
Stephen King's Quitters, Inc. [1985];[Stephen King]/
Stephen King's Rainy Season [2002];[Stephen King]/
Stephen King's Rose Red [2002];[Stephen King]/
Stephen King's The Finger [2009];[Stephen King]/
Stephen King's The Last Rung on the Ladder [1987];[Stephen King]/
Stephen King's The Secret Transit Codes of America's Highways [2004];[Stephen King]/
Stephen King's The Stand [1994];[Stephen King]/
Storm of the Century [1999];[Stephen King]/
Strawberry Spring [2001];[Stephen King]/
Survivor Type [2011];[Stephen King]/
Tales from the Darkside: The Movie [1990];[Stephen King]/
The Boogeyman [1982];[Stephen King]/
The Boogeyman [2010];[Stephen King]/
The Dark Half [1993];[Stephen King]/
The Dark Tower [2013];[Stephen King]/
The Dead Zone [1983];[Stephen King]/
The Dead Zone [2002];[Stephen King]/
The Diary of Ellen Rimbauer [2003];[Stephen King]/
The Green Mile [1999];[Stephen King]/
The Langoliers [1995];[Stephen King]/
The Lawnmower Man [1992];[Stephen King]/
The Man in the Black Suit [2004];[Stephen King]/
The Man Who Loved Flowers [2010];[Stephen King]/
The Mangler [1995];[Stephen King]/
The Mist [2007];[Stephen King]/
The Night Flier [1997];[Stephen King]/
The Rage: Carrie 2 [1999];[Stephen King]/
The Running Man [1987];[Stephen King]/
The Shawshank Redemption [1994];[Stephen King]/
The Shining [1980];[Stephen King]/
The Shining [1997];[Stephen King]/
The Tommyknockers [1993];[Stephen King]/
The Woman in the Room [1983];[Stephen King]/
Thinner [1996];[Stephen King]/
Trucks [1997];[Stephen King]/
12 Dates of Christmas [2011];[TV Movies]/[ABC Family]/
Au Pair 3: Adventure in Paradise [2009];[TV Movies]/[ABC Family]/
Beauty & the Briefcase [2010];[TV Movies]/[ABC Family]/
Campus Confidential [2005];[TV Movies]/[ABC Family]/
Chasing Christmas [2005];[TV Movies]/[ABC Family]/
Christmas Bounty [2013];[TV Movies]/[ABC Family]/
Christmas Caper [2007];[TV Movies]/[ABC Family]/
Christmas Cupid [2010];[TV Movies]/[ABC Family]/
Christmas Do-Over [2006];[TV Movies]/[ABC Family]/
Christmas in Boston [2005];[TV Movies]/[ABC Family]/
Cyberbully [2011];[TV Movies]/[ABC Family]/
Desperately Seeking Santa [2011];[TV Movies]/[ABC Family]/
Fallen [2006];[TV Movies]/[ABC Family]/
Full of It [2007];[TV Movies]/[ABC Family]/
Home Alone: The Holiday Heist [2012];[TV Movies]/[ABC Family]/
If Only [2004];[TV Movies]/[ABC Family]/
Kart Racer [2003];[TV Movies]/[ABC Family]/
Labor Pains [2009];[TV Movies]/[ABC Family]/
Love Wrecked [2005];[TV Movies]/[ABC Family]/
Lovestruck: The Musical [2013];[TV Movies]/[ABC Family]/
My Fake Fiance [2009];[TV Movies]/[ABC Family]/
My Future Boyfriend [2011];[TV Movies]/[ABC Family]/
Nature of the Beast [2007];[TV Movies]/[ABC Family]/
Picture This [2008];[TV Movies]/[ABC Family]/
Princess [2008];[TV Movies]/[ABC Family]/
Revenge of the Bridesmaids [2010];[TV Movies]/[ABC Family]/
Santa Baby [2006];[TV Movies]/[ABC Family]/
Santa Baby 2: Christmas Maybe [2009];[TV Movies]/[ABC Family]/
School of Life [2005];[TV Movies]/[ABC Family]/
Snow 2: Brain Freeze [2008];[TV Movies]/[ABC Family]/
Snowglobe [2007];[TV Movies]/[ABC Family]/
Teen Spirit [2011];[TV Movies]/[ABC Family]/
The Circuit [2008];[TV Movies]/[ABC Family]/
The Cutting Edge 3: Chasing the Dream [2008];[TV Movies]/[ABC Family]/
The Cutting Edge: Fire & Ice [2010];[TV Movies]/[ABC Family]/
The Cutting Edge: Going for the Gold [2006];[TV Movies]/[ABC Family]/
The Dog Who Saved Christmas [2009];[TV Movies]/[ABC Family]/
The Dog Who Saved Christmas Vacation [2010];[TV Movies]/[ABC Family]/
The Initiation of Sarah [2006];[TV Movies]/[ABC Family]/
'Twas the Night [2001];[TV Movies]/[Disney Channel]/
A Friendship in Vienna [1988];[TV Movies]/[Disney Channel]/
A Ring of Endless Light [2002];[TV Movies]/[Disney Channel]/
Alley Cats Strike [2000];[TV Movies]/[Disney Channel]/
Anne of Avonlea [1987];[TV Movies]/[Disney Channel]/
Anne of Green Gables: The Sequel [1987];[TV Movies]/[Disney Channel]/
Avalon High [2010];[TV Movies]/[Disney Channel]/
Back Home [1990];[TV Movies]/[Disney Channel]/
Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn [1990];[TV Movies]/[Disney Channel]/
Bejewelled [1991];[TV Movies]/[Disney Channel]/
Black Arrow [1985];[TV Movies]/[Disney Channel]/
Brink! [1998];[TV Movies]/[Disney Channel]/
Buffalo Dreams [2005];[TV Movies]/[Disney Channel]/
Bushfire Moon [1987];[TV Movies]/[Disney Channel]/
Cadet Kelly [2002];[TV Movies]/[Disney Channel]/
Camp Rock [2008];[TV Movies]/[Disney Channel]/
Camp Rock 2: The Final Jam [2010];[TV Movies]/[Disney Channel]/
Can of Worms [1999];[TV Movies]/[Disney Channel]/
Chips, the War Dog [1990];[TV Movies]/[Disney Channel]/
Cloud 9 [2014];[TV Movies]/[Disney Channel]/
Cow Belles [2006];[TV Movies]/[Disney Channel]/
Dadnapped [2009];[TV Movies]/[Disney Channel]/
Den Brother [2010];[TV Movies]/[Disney Channel]/
Don't Look Under the Bed [1999];[TV Movies]/[Disney Channel]/
Double Teamed [2002];[TV Movies]/[Disney Channel]/
Eddie's Million Dollar Cook-Off [2003];[TV Movies]/[Disney Channel]/
Frenemies [2012];[TV Movies]/[Disney Channel]/
Full-Court Miracle [2003];[TV Movies]/[Disney Channel]/
Geek Charming [2011];[TV Movies]/[Disney Channel]/
Genius [1999];[TV Movies]/[Disney Channel]/
Get a Clue [2002];[TV Movies]/[Disney Channel]/
Girl Vs. Monster [2012];[TV Movies]/[Disney Channel]/
Go Figure [2005];[TV Movies]/[Disney Channel]/
Going to the Mat [2004];[TV Movies]/[Disney Channel]/
Gone Are the Dayes [1984];[TV Movies]/[Disney Channel]/
Good Luck Charlie, It's Christmas! [2011];[TV Movies]/[Disney Channel]/
Good Old Boy: A Delta Boyhood [1988];[TV Movies]/[Disney Channel]/
Goodbye, Miss 4th of July [1988];[TV Movies]/[Disney Channel]/
Gotta Kick It Up! [2002];[TV Movies]/[Disney Channel]/
Great Expectations [1989];[TV Movies]/[Disney Channel]/
Halloweentown [1998];[TV Movies]/[Disney Channel]/
Halloweentown High [2004];[TV Movies]/[Disney Channel]/
Halloweentown II: Kalabar's Revenge [2001];[TV Movies]/[Disney Channel]/
Hatching Pete [2009];[TV Movies]/[Disney Channel]/
Heidi [1993];[TV Movies]/[Disney Channel]/
Horse Sense [1999];[TV Movies]/[Disney Channel]/
Hounded [2001];[TV Movies]/[Disney Channel]/
How to Build a Better Boy [2014];[TV Movies]/[Disney Channel]/
Johnny Kapahala: Back on Board [2007];[TV Movies]/[Disney Channel]/
Johnny Tsunami [1999];[TV Movies]/[Disney Channel]/
Jump In! [2007];[TV Movies]/[Disney Channel]/
Jump Start! [2007];[TV Movies]/[Disney Channel]/
